step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
311,6558087.93,6558087.93,0.0,0.0,0.0,0,0,0,0,1,1
120,746518.21,746518.21,0.0,0.0,0.0,0,0,0,0,1,1
579,254564.81,254564.81,0.0,1998631.83,2253196.63,0,1,0,0,0,1
342,348952.97,348952.97,0.0,203323.19,552276.17,0,1,0,0,0,1
224,1150717.15,1150717.15,0.0,39045.89,1189763.04,0,1,0,0,0,1
225,476321.8,476321.8,0.0,0.0,476321.8,0,1,0,0,0,1
157,1397162.15,1397162.15,0.0,0.0,0.0,0,0,0,0,1,1
175,895565.06,895565.06,0.0,0.0,0.0,0,0,0,0,1,1
362,60314.32,60314.32,0.0,0.0,0.0,0,0,0,0,1,1
265,158214.43,158214.43,0.0,1341496.75,1499711.18,0,1,0,0,0,1
200,5393290.34,5393290.34,0.0,0.0,0.0,0,0,0,0,1,1
127,6910926.92,6910926.92,0.0,2645322.19,9556249.11,0,1,0,0,0,1
19,3477438.49,3477438.49,0.0,0.0,0.0,0,0,0,0,1,1
23,146127.1,146127.1,0.0,0.0,0.0,0,0,0,0,1,1
504,219278.81,219278.81,0.0,22127.85,241406.66,0,1,0,0,0,1
494,503620.99,503620.99,0.0,0.0,503620.99,0,1,0,0,0,1
344,118499.44,118499.44,0.0,1881892.83,2000392.27,0,1,0,0,0,1
54,438224.6,438224.6,0.0,320697.46,758922.05,0,1,0,0,0,1
554,2689.43,2689.43,0.0,854373.6,857063.03,0,1,0,0,0,1
406,126192.63,126192.63,0.0,0.0,126192.63,0,1,0,0,0,1
670,1097309.24,1097309.24,0.0,0.0,1097309.24,0,1,0,0,0,1
406,2426076.89,2426076.89,0.0,44160.09,2470236.98,0,1,0,0,0,1
526,200008.33,200008.33,0.0,2959887.83,3159896.16,0,1,0,0,0,1
258,29280.46,29280.46,0.0,0.0,0.0,0,0,0,0,1,1
2,18627.02,18627.02,0.0,147251.58,165878.6,0,1,0,0,0,1
46,35016.23,35016.23,0.0,65435.34,100451.57,0,1,0,0,0,1
479,6669495.34,6669495.34,0.0,251579.17,6921074.51,0,1,0,0,0,1
44,534255.94,534255.94,0.0,24559.0,558814.94,0,1,0,0,0,1
160,32872.0,32872.0,0.0,0.0,32872.0,0,1,0,0,0,1
688,735329.1,735329.1,0.0,0.0,735329.1,0,1,0,0,0,1
9,1154353.99,1154353.99,0.0,162222.0,1965587.6,0,1,0,0,0,1
676,5016884.33,5016884.33,0.0,3425450.21,8442334.54,0,1,0,0,0,1
502,613020.85,613020.85,0.0,0.0,0.0,0,0,0,0,1,1
403,196254.03,196254.03,0.0,0.0,196254.03,0,1,0,0,0,1
533,3439121.37,3439121.37,0.0,67310.12,3506431.49,0,1,0,0,0,1
265,127916.67,127916.67,0.0,1520726.85,1648643.52,0,1,0,0,0,1
460,1424002.7,1424002.7,0.0,11407.5,1435410.19,0,1,0,0,0,1
637,48605.54,48605.54,0.0,0.0,0.0,0,0,0,0,1,1
220,3379009.86,3379009.86,0.0,1760983.92,5139993.78,0,1,0,0,0,1
282,371669.59,371669.59,0.0,0.0,0.0,0,0,0,0,1,1
535,72878.02,72878.02,0.0,0.0,0.0,0,0,0,0,1,1
387,9110884.44,9110884.44,0.0,0.0,0.0,0,0,0,0,1,1
617,10000000.0,10000000.0,0.0,0.0,10000000.0,0,1,0,0,0,1
206,235750.53,235750.53,0.0,0.0,0.0,0,0,0,0,1,1
518,1165187.89,1165187.89,0.0,0.0,0.0,0,0,0,0,1,1
534,771024.82,771024.82,0.0,121864.03,892888.86,0,1,0,0,0,1
646,10000000.0,20399045.08,10399045.08,0.0,0.0,0,0,0,0,1,1
481,548677.33,548677.33,0.0,139582.33,688259.65,0,1,0,0,0,1
309,96474.91,96474.91,0.0,0.0,0.0,0,0,0,0,1,1
111,3595911.39,3595911.39,0.0,82970.96,3678882.35,0,1,0,0,0,1
162,436906.22,436906.22,0.0,0.0,0.0,0,0,0,0,1,1
485,2755588.11,2755588.11,0.0,2758109.87,5513697.98,0,1,0,0,0,1
594,28936.11,28936.11,0.0,1565152.93,1594089.04,0,1,0,0,0,1
658,82535.57,82535.57,0.0,0.0,0.0,0,0,0,0,1,1
621,425861.93,425861.93,0.0,203280.85,629142.78,0,1,0,0,0,1
425,204030.2,204030.2,0.0,0.0,204030.2,0,1,0,0,0,1
200,7482670.24,7482670.24,0.0,2097169.4,9579839.64,0,1,0,0,0,1
328,43814.15,43814.15,0.0,4177401.35,4221215.5,0,1,0,0,0,1
51,567932.31,567932.31,0.0,0.0,567932.31,0,1,0,0,0,1
698,748726.81,748726.81,0.0,36292626.28,37041353.09,0,1,0,0,0,1
39,7937954.2,7937954.2,0.0,2716480.56,10654434.76,0,1,0,0,0,1
60,581421.85,581421.85,0.0,0.0,0.0,0,0,0,0,1,1
489,107128.17,107128.17,0.0,0.0,0.0,0,0,0,0,1,1
336,786573.0,786573.0,0.0,0.0,0.0,0,0,0,0,1,1
625,2654302.46,2654302.46,0.0,1429770.91,4084073.37,0,1,0,0,0,1
33,3295227.84,3295227.84,0.0,0.0,0.0,0,0,0,0,1,1
528,2173367.35,2173367.35,0.0,0.0,0.0,0,0,0,0,1,1
646,10000000.0,30399045.08,20399045.08,0.0,0.0,0,0,0,0,1,1
406,183385.35,183385.35,0.0,0.0,0.0,0,0,0,0,1,1
305,447589.21,447589.21,0.0,0.0,0.0,0,0,0,0,1,1
512,684266.09,684266.09,0.0,76615.04,760881.13,0,1,0,0,0,1
619,293470.64,293470.64,0.0,7670124.43,7963595.07,0,1,0,0,0,1
46,736370.54,736370.54,0.0,556478.62,1292849.15,0,1,0,0,0,1
140,4400457.84,4400457.84,0.0,0.0,0.0,0,0,0,0,1,1
373,152314.49,152314.49,0.0,0.0,0.0,0,0,0,0,1,1
236,1418198.25,1418198.25,0.0,0.0,0.0,0,0,0,0,1,1
188,312971.23,312971.23,0.0,0.0,0.0,0,0,0,0,1,1
698,9097679.75,9097679.75,0.0,2958471.27,12056151.02,0,1,0,0,0,1
448,432544.68,432544.68,0.0,0.0,0.0,0,0,0,0,1,1
302,1011249.64,1011249.64,0.0,0.0,0.0,0,0,0,0,1,1
131,2745923.02,2745923.02,0.0,0.0,0.0,0,0,0,0,1,1
86,17822.02,17822.02,0.0,0.0,0.0,0,0,0,0,1,1
306,2052851.64,2052851.64,0.0,2785850.47,4838702.12,0,1,0,0,0,1
397,52689.13,52689.13,0.0,160085.29,212774.42,0,1,0,0,0,1
132,190737.49,190737.49,0.0,0.0,0.0,0,0,0,0,1,1
42,3569720.42,3569720.42,0.0,0.0,3569720.42,0,1,0,0,0,1
370,310726.29,310726.29,0.0,0.0,0.0,0,0,0,0,1,1
506,1048100.0,1048100.0,0.0,0.0,0.0,0,0,0,0,1,1
64,17051.69,17051.69,0.0,0.0,0.0,0,0,0,0,1,1
351,6417789.09,6417789.09,0.0,2280633.24,8698422.34,0,1,0,0,0,1
315,4713935.64,4713935.64,0.0,529413.85,5243349.49,0,1,0,0,0,1
221,93708.08,93708.08,0.0,0.0,0.0,0,0,0,0,1,1
332,19226.25,19226.25,0.0,0.0,19226.25,0,1,0,0,0,1
4,86070.17,86070.17,0.0,0.0,86070.17,0,1,0,0,0,1
387,10000000.0,24892193.09,14892193.09,0.0,0.0,0,0,0,0,1,1
610,633459.44,633459.44,0.0,0.0,633459.44,0,1,0,0,0,1
377,73946.79,73946.79,0.0,518296.65,592243.44,0,1,0,0,0,1
42,1917497.63,1917497.63,0.0,0.0,0.0,0,0,0,0,1,1
660,619502.08,619502.08,0.0,4755457.2,5374959.28,0,1,0,0,0,1
273,76642.85,76642.85,0.0,1497980.41,1574623.26,0,1,0,0,0,1
325,107834.85,107834.85,0.0,0.0,107834.85,0,1,0,0,0,1
59,9748.89,9748.89,0.0,0.0,0.0,0,0,0,0,1,1
72,730574.39,730574.39,0.0,183897.18,914471.57,0,1,0,0,0,1
282,181647.66,181647.66,0.0,159001.95,340649.62,0,1,0,0,0,1
9,350705.74,350705.74,0.0,894760.68,1794033.65,0,1,0,0,0,1
243,5044147.53,5044147.53,0.0,0.0,5044147.53,0,1,0,0,0,1
85,4094.07,4094.07,0.0,0.0,0.0,0,0,0,0,1,1
555,1235544.92,1235544.92,0.0,0.0,0.0,0,0,0,0,1,1
305,39342.59,39342.59,0.0,0.0,39342.59,0,1,0,0,0,1
671,188731.21,188731.21,0.0,0.0,0.0,0,0,0,0,1,1
454,1172700.63,1172700.63,0.0,202614.09,1375314.72,0,1,0,0,0,1
222,1338487.47,1338487.47,0.0,0.0,0.0,0,0,0,0,1,1
622,165547.54,165547.54,0.0,0.0,0.0,0,0,0,0,1,1
639,208253.11,208253.11,0.0,0.0,0.0,0,0,0,0,1,1
165,1869237.83,1869237.83,0.0,0.0,0.0,0,0,0,0,1,1
290,559565.82,559565.82,0.0,310264.17,869829.99,0,1,0,0,0,1
632,52541.42,52541.42,0.0,0.0,0.0,0,0,0,0,1,1
483,526119.49,526119.49,0.0,340510.43,866629.92,0,1,0,0,0,1
289,87219.11,87219.11,0.0,45443.64,132662.75,0,1,0,0,0,1
279,10000000.0,10536624.41,536624.41,0.0,0.0,0,0,0,0,1,1
143,1608571.02,1608571.02,0.0,0.0,0.0,0,0,0,0,1,1
184,90346.05,90346.05,0.0,532789.09,623135.14,0,1,0,0,0,1
440,807278.78,807278.78,0.0,0.0,807278.78,0,1,0,0,0,1
198,2153055.36,2153055.36,0.0,2394343.5,4547398.86,0,1,0,0,0,1
648,774868.1,774868.1,0.0,0.0,0.0,0,0,0,0,1,1
575,367263.47,367263.47,0.0,0.0,0.0,0,0,0,0,1,1
628,99165.12,99165.12,0.0,0.0,0.0,0,0,0,0,1,1
225,10276.87,10276.87,0.0,0.0,0.0,0,0,0,0,1,1
311,1275236.3,1275236.3,0.0,0.0,0.0,0,0,0,0,1,1
87,1083860.21,1083860.21,0.0,0.0,1083860.21,0,1,0,0,0,1
187,44164.0,44164.0,0.0,0.0,0.0,0,0,0,0,1,1
71,322113.91,322113.91,0.0,0.0,0.0,0,0,0,0,1,1
521,5087422.03,5087422.03,0.0,0.0,0.0,0,0,0,0,1,1
321,59628.24,59628.24,0.0,686111.28,745739.53,0,1,0,0,0,1
482,24382.08,24382.08,0.0,6866.91,31248.99,0,1,0,0,0,1
251,8276235.5,8276235.5,0.0,190006.69,8466242.19,0,1,0,0,0,1
192,8783.42,8783.42,0.0,0.0,0.0,0,0,0,0,1,1
121,130987.75,130987.75,0.0,0.0,0.0,0,0,0,0,1,1
171,1777674.32,1777674.32,0.0,0.0,0.0,0,0,0,0,1,1
592,369306.87,369306.87,0.0,0.0,0.0,0,0,0,0,1,1
170,871893.15,871893.15,0.0,0.0,0.0,0,0,0,0,1,1
292,2582733.46,2582733.46,0.0,0.0,0.0,0,0,0,0,1,1
212,10000000.0,14953893.08,4953893.08,0.0,0.0,0,0,0,0,1,1
151,443893.69,443893.69,0.0,0.0,0.0,0,0,0,0,1,1
262,592615.53,592615.53,0.0,0.0,0.0,0,0,0,0,1,1
706,265961.0,265961.0,0.0,9354076.45,9620037.45,0,1,0,0,0,1
56,82767.31,82767.31,0.0,401173.22,483940.53,0,1,0,0,0,1
398,10000000.0,10000000.0,0.0,2246.43,10002246.43,0,1,0,0,0,1
296,716273.17,716273.17,0.0,0.0,0.0,0,0,0,0,1,1
59,394388.09,394388.09,0.0,0.0,0.0,0,0,0,0,1,1
328,2137134.15,2137134.15,0.0,0.0,0.0,0,0,0,0,1,1
285,1421665.98,1421665.98,0.0,0.0,1421665.98,0,1,0,0,0,1
413,438983.45,438983.45,0.0,26861.84,465845.29,0,1,0,0,0,1
30,122235.11,122235.11,0.0,0.0,122235.11,0,1,0,0,0,1
482,1059347.56,1059347.56,0.0,0.0,0.0,0,0,0,0,1,1
238,134313.22,134313.22,0.0,0.0,134313.22,0,1,0,0,0,1
50,967153.5,967153.5,0.0,0.0,0.0,0,0,0,0,1,1
39,152042.16,152042.16,0.0,710428.02,862470.18,0,1,0,0,0,1
137,417217.89,417217.89,0.0,0.0,0.0,0,0,0,0,1,1
578,4961014.03,4961014.03,0.0,0.0,0.0,0,0,0,0,1,1
488,5363795.31,5363795.31,0.0,33769.18,5397564.49,0,1,0,0,0,1
345,116940.32,116940.32,0.0,491820.33,608760.65,0,1,0,0,0,1
675,43440.97,43440.97,0.0,0.0,0.0,0,0,0,0,1,1
466,230806.85,230806.85,0.0,0.0,0.0,0,0,0,0,1,1
6,13704.0,13704.0,0.0,3382.84,143675.35,0,1,0,0,0,1
323,334790.89,334790.89,0.0,0.0,0.0,0,0,0,0,1,1
411,427373.65,427373.65,0.0,0.0,0.0,0,0,0,0,1,1
360,261742.96,261742.96,0.0,0.0,0.0,0,0,0,0,1,1
109,252417.45,252417.45,0.0,401309.51,653726.95,0,1,0,0,0,1
122,91637.51,91637.51,0.0,7336697.67,7428335.18,0,1,0,0,0,1
381,703882.14,703882.14,0.0,0.0,0.0,0,0,0,0,1,1
473,7009.93,7009.93,0.0,0.0,7009.93,0,1,0,0,0,1
606,1026684.46,1026684.46,0.0,59926.13,1086610.59,0,1,0,0,0,1
59,394388.09,394388.09,0.0,1260564.49,1654952.58,0,1,0,0,0,1
216,1697655.62,1697655.62,0.0,0.0,1697655.62,0,1,0,0,0,1
31,5021186.54,5021186.54,0.0,880859.14,5902045.68,0,1,0,0,0,1
178,1796069.2,1796069.2,0.0,0.0,0.0,0,0,0,0,1,1
98,8055.06,8055.06,0.0,0.0,8055.06,0,1,0,0,0,1
110,904124.58,904124.58,0.0,0.0,0.0,0,0,0,0,1,1
141,1589614.75,1589614.75,0.0,2163508.38,3753123.13,0,1,0,0,0,1
575,1489916.19,1489916.19,0.0,0.0,0.0,0,0,0,0,1,1
463,4152435.91,4152435.91,0.0,0.0,4152435.91,0,1,0,0,0,1
534,492896.75,492896.75,0.0,0.0,0.0,0,0,0,0,1,1
664,64181.21,64181.21,0.0,0.0,0.0,0,0,0,0,1,1
686,134227.05,134227.05,0.0,0.0,0.0,0,0,0,0,1,1
365,31315.51,31315.51,0.0,0.0,0.0,0,0,0,0,1,1
619,418971.0,418971.0,0.0,2234184.24,2653155.23,0,1,0,0,0,1
540,1989311.31,1989311.31,0.0,2475151.37,4464462.67,0,1,0,0,0,1
435,365332.78,365332.78,0.0,27185.14,392517.92,0,1,0,0,0,1
640,46973.96,46973.96,0.0,0.0,0.0,0,0,0,0,1,1
388,960196.16,960196.16,0.0,932.39,961128.55,0,1,0,0,0,1
87,115461.48,115461.48,0.0,21619.28,137080.75,0,1,0,0,0,1
161,1533798.48,1533798.48,0.0,0.0,0.0,0,0,0,0,1,1
654,114627.08,114627.08,0.0,0.0,0.0,0,0,0,0,1,1
85,678058.75,678058.75,0.0,7175958.36,7854017.11,0,1,0,0,0,1
377,489033.93,489033.93,0.0,0.0,0.0,0,0,0,0,1,1
373,152314.49,152314.49,0.0,144953.35,297267.84,0,1,0,0,0,1
43,93459.89,93459.89,0.0,0.0,0.0,0,0,0,0,1,1
417,237776.02,237776.02,0.0,0.0,0.0,0,0,0,0,1,1
491,580387.06,580387.06,0.0,0.0,0.0,0,0,0,0,1,1
176,455709.8,455709.8,0.0,0.0,0.0,0,0,0,0,1,1
124,1399637.19,1399637.19,0.0,0.0,0.0,0,0,0,0,1,1
613,86002.09,86002.09,0.0,0.0,0.0,0,0,0,0,1,1
254,591159.5,591159.5,0.0,0.0,0.0,0,0,0,0,1,1
467,144283.42,144283.42,0.0,0.0,0.0,0,0,0,0,1,1
134,3892156.3,3892156.3,0.0,5663227.36,9555383.66,0,1,0,0,0,1
206,154196.49,154196.49,0.0,325765.34,479961.83,0,1,0,0,0,1
680,227668.22,227668.22,0.0,0.0,0.0,0,0,0,0,1,1
35,9465988.82,9465988.82,0.0,0.0,9465988.82,0,1,0,0,0,1
531,6392800.85,6392800.85,0.0,0.0,0.0,0,0,0,0,1,1
415,224230.16,224230.16,0.0,427065.03,651295.19,0,1,0,0,0,1
171,2754740.54,2754740.54,0.0,0.0,0.0,0,0,0,0,1,1
397,2107997.33,2107997.33,0.0,0.0,2107997.33,0,1,0,0,0,1
249,56013.0,56013.0,0.0,0.0,0.0,0,0,0,0,1,1
410,950791.37,950791.37,0.0,0.0,0.0,0,0,0,0,1,1
260,175597.64,175597.64,0.0,0.0,0.0,0,0,0,0,1,1
238,5274773.52,5274773.52,0.0,346223.18,5620996.7,0,1,0,0,0,1
523,248799.49,248799.49,0.0,323143.23,571942.72,0,1,0,0,0,1
206,990630.25,990630.25,0.0,332494.61,1323124.85,0,1,0,0,0,1
657,24853.41,24853.41,0.0,11435.22,36288.63,0,1,0,0,0,1
698,2479767.72,2479767.72,0.0,910534.24,3390301.96,0,1,0,0,0,1
199,295054.68,295054.68,0.0,0.0,295054.68,0,1,0,0,0,1
187,856386.66,856386.66,0.0,0.0,0.0,0,0,0,0,1,1
71,91691.75,91691.75,0.0,0.0,0.0,0,0,0,0,1,1
420,1464160.5,1464160.5,0.0,0.0,0.0,0,0,0,0,1,1
106,8999.56,8999.56,0.0,0.0,8999.56,0,1,0,0,0,1
274,379057.93,379057.93,0.0,0.0,0.0,0,0,0,0,1,1
488,5363795.31,5363795.31,0.0,0.0,0.0,0,0,0,0,1,1
367,362672.57,362672.57,0.0,3.51,362676.08,0,1,0,0,0,1
103,1254092.1,1254092.1,0.0,0.0,1254092.1,0,1,0,0,0,1
227,210.92,210.92,0.0,3437310.4,3437521.31,0,1,0,0,0,1
30,236947.25,236947.25,0.0,0.0,0.0,0,0,0,0,1,1
343,540530.08,540530.08,0.0,3707887.19,4248417.27,0,1,0,0,0,1
65,881811.11,881811.11,0.0,141736.75,1023547.85,0,1,0,0,0,1
689,2163012.63,2163012.63,0.0,0.0,0.0,0,0,0,0,1,1
164,329728.11,329728.11,0.0,0.0,0.0,0,0,0,0,1,1
614,4212682.84,4212682.84,0.0,9728.68,4222411.52,0,1,0,0,0,1
583,459378.91,459378.91,0.0,1277879.14,1737258.05,0,1,0,0,0,1
456,79717.14,79717.14,0.0,0.0,79717.14,0,1,0,0,0,1
495,1301090.39,1301090.39,0.0,3049015.55,4350105.94,0,1,0,0,0,1
554,1025082.07,1025082.07,0.0,1430070.2,2455152.27,0,1,0,0,0,1
43,362152.77,362152.77,0.0,0.0,0.0,0,0,0,0,1,1
303,10000000.0,10000000.0,0.0,339202.58,10339202.58,0,1,0,0,0,1
86,6972164.97,6972164.97,0.0,0.0,0.0,0,0,0,0,1,1
411,2068313.94,2068313.94,0.0,0.0,2068313.94,0,1,0,0,0,1
303,10000000.0,10000000.0,0.0,235903.82,10235903.82,0,1,0,0,0,1
466,104171.37,104171.37,0.0,64407.18,168578.56,0,1,0,0,0,1
19,1861008.32,1861008.32,0.0,0.0,1789942.62,0,1,0,0,0,1
430,2828068.73,2828068.73,0.0,0.0,0.0,0,0,0,0,1,1
83,24412.07,24412.07,0.0,0.0,0.0,0,0,0,0,1,1
572,1351104.53,1351104.53,0.0,0.0,1351104.53,0,1,0,0,0,1
686,198043.93,198043.93,0.0,17003.34,215047.27,0,1,0,0,0,1
4,169941.73,169941.73,0.0,0.0,169941.73,0,1,0,0,0,1
695,7435751.59,7435751.59,0.0,332673.83,7768425.42,0,1,0,0,0,1
66,4631432.03,4631432.03,0.0,0.0,0.0,0,0,0,0,1,1
507,10000000.0,17239986.95,7239986.95,0.0,0.0,0,0,0,0,1,1
674,6250438.78,6250438.78,0.0,0.0,6250438.78,0,1,0,0,0,1
80,244814.12,244814.12,0.0,0.0,0.0,0,0,0,0,1,1
6,10224.0,10224.0,0.0,0.0,10224.0,0,1,0,0,0,1
268,2219475.13,2219475.13,0.0,589145.32,2808620.45,0,1,0,0,0,1
173,98634.75,98634.75,0.0,0.0,0.0,0,0,0,0,1,1
536,624686.04,624686.04,0.0,0.0,0.0,0,0,0,0,1,1
204,79938.47,79938.47,0.0,0.0,79938.47,0,1,0,0,0,1
349,1398633.34,1398633.34,0.0,0.0,0.0,0,0,0,0,1,1
362,10000000.0,10000000.0,0.0,526160.19,10526160.19,0,1,0,0,0,1
572,210952.24,210952.24,0.0,0.0,0.0,0,0,0,0,1,1
374,200418.1,200418.1,0.0,0.0,0.0,0,0,0,0,1,1
709,242296.17,242296.17,0.0,0.0,0.0,0,0,0,0,1,1
87,114339.1,114339.1,0.0,41413.23,155752.33,0,1,0,0,0,1
221,93708.08,93708.08,0.0,1535887.5,1629595.57,0,1,0,0,0,1
173,20311.17,20311.17,0.0,0.0,0.0,0,0,0,0,1,1
83,594577.22,594577.22,0.0,0.0,0.0,0,0,0,0,1,1
281,54235.7,54235.7,0.0,0.0,54235.7,0,1,0,0,0,1
310,1868438.44,1868438.44,0.0,0.0,0.0,0,0,0,0,1,1
33,10000000.0,19887819.06,9887819.06,0.0,0.0,0,0,0,0,1,1
561,2329379.8,2329379.8,0.0,0.0,0.0,0,0,0,0,1,1
388,4348.62,4348.62,0.0,4139226.47,4143575.09,0,1,0,0,0,1
260,296977.69,296977.69,0.0,0.0,0.0,0,0,0,0,1,1
694,21358.8,21358.8,0.0,0.0,0.0,0,0,0,0,1,1
98,427405.08,427405.08,0.0,0.0,0.0,0,0,0,0,1,1
337,46073.56,46073.56,0.0,1962.98,48036.54,0,1,0,0,0,1
479,6669495.34,6669495.34,0.0,0.0,0.0,0,0,0,0,1,1
379,17216.14,17216.14,0.0,0.0,0.0,0,0,0,0,1,1
8,222.0,222.0,0.0,0.0,267095.19,0,0,0,0,1,1
413,341441.17,341441.17,0.0,0.0,341441.17,0,1,0,0,0,1
421,10000000.0,15455965.86,5455965.86,0.0,0.0,0,0,0,0,1,1
461,227955.85,227955.85,0.0,0.0,0.0,0,0,0,0,1,1
651,65494.78,65494.78,0.0,0.0,0.0,0,0,0,0,1,1
388,5658123.36,5658123.36,0.0,0.0,0.0,0,0,0,0,1,1
387,4892193.09,4892193.09,4892193.09,0.0,0.0,0,0,0,0,1,1
359,105733.45,105733.45,0.0,934471.58,1040205.03,0,1,0,0,0,1
625,10000000.0,13020974.53,3020974.53,0.0,0.0,0,0,0,0,1,1
685,10000000.0,10000000.0,0.0,56142.18,10056142.18,0,1,0,0,0,1
107,570649.33,570649.33,0.0,0.0,570649.33,0,1,0,0,0,1
82,5338583.38,5338583.38,0.0,0.0,0.0,0,0,0,0,1,1
258,2684142.41,2684142.41,0.0,0.0,0.0,0,0,0,0,1,1
623,58050.78,58050.78,0.0,0.0,58050.78,0,1,0,0,0,1
60,89014.32,89014.32,0.0,0.0,0.0,0,0,0,0,1,1
90,113309.55,113309.55,0.0,0.0,0.0,0,0,0,0,1,1
649,150205.64,150205.64,0.0,0.0,150205.64,0,1,0,0,0,1
516,2625132.51,2625132.51,0.0,0.0,0.0,0,0,0,0,1,1
666,504362.34,504362.34,0.0,0.0,504362.34,0,1,0,0,0,1
105,40413.81,40413.81,0.0,0.0,0.0,0,0,0,0,1,1
409,10000000.0,10000000.0,0.0,0.0,10000000.0,0,1,0,0,0,1
137,433348.97,433348.97,0.0,0.0,0.0,0,0,0,0,1,1
262,340936.99,340936.99,0.0,0.0,0.0,0,0,0,0,1,1
533,878034.02,878034.02,0.0,0.0,0.0,0,0,0,0,1,1
583,615398.61,615398.61,0.0,0.0,0.0,0,0,0,0,1,1
688,676913.69,676913.69,0.0,0.0,0.0,0,0,0,0,1,1
608,388171.95,388171.95,0.0,0.0,0.0,0,0,0,0,1,1
321,203874.62,203874.62,0.0,472690.19,676564.81,0,1,0,0,0,1
315,7748802.0,7748802.0,0.0,0.0,7748802.0,0,1,0,0,0,1
339,373531.87,373531.87,0.0,0.0,0.0,0,0,0,0,1,1
20,448025.06,448025.06,0.0,0.0,0.0,0,0,0,0,1,1
249,56847.17,56847.17,0.0,0.0,0.0,0,0,0,0,1,1
666,145944.8,145944.8,0.0,0.0,0.0,0,0,0,0,1,1
453,134725.66,134725.66,0.0,0.0,134725.66,0,1,0,0,0,1
638,7788725.2,7788725.2,0.0,0.0,0.0,0,0,0,0,1,1
15,119.0,119.0,0.0,0.0,0.0,0,0,0,0,1,1
544,412668.39,412668.39,0.0,0.0,0.0,0,0,0,0,1,1
633,4128853.75,4128853.75,0.0,13982778.91,18111632.66,0,1,0,0,0,1
148,99168.97,99168.97,0.0,360.3,99529.27,0,1,0,0,0,1
228,4526748.52,4526748.52,0.0,0.0,0.0,0,0,0,0,1,1
389,173668.46,173668.46,0.0,0.0,0.0,0,0,0,0,1,1
619,945131.71,945131.71,0.0,0.0,945131.71,0,1,0,0,0,1
562,8770.06,8770.06,0.0,0.0,8770.06,0,1,0,0,0,1
118,50845.13,50845.13,0.0,0.0,0.0,0,0,0,0,1,1
